Fri Aug 28 2015 20:55:26 GMT+0800 (China Standard Time),,s1w164,focus,
Fri Aug 28 2015 20:55:26 GMT+0800 (China Standard Time),,s1w165,focus,
Fri Aug 28 2015 20:55:27 GMT+0800 (China Standard Time),,s1w165,label,"^"
Fri Aug 28 2015 20:55:27 GMT+0800 (China Standard Time),,s1w166,focus,
Fri Aug 28 2015 20:55:27 GMT+0800 (China Standard Time),,s2w1,focus,
Fri Aug 28 2015 20:55:28 GMT+0800 (China Standard Time),,s2w2,focus,
Fri Aug 28 2015 20:55:29 GMT+0800 (China Standard Time),,s2w1,focus,
Fri Aug 28 2015 20:55:29 GMT+0800 (China Standard Time),,s2w1,focus,
Fri Aug 28 2015 20:55:30 GMT+0800 (China Standard Time),,s2w1,label,"N"
Fri Aug 28 2015 20:55:31 GMT+0800 (China Standard Time),,s2w2,focus,
Fri Aug 28 2015 20:55:31 GMT+0800 (China Standard Time),,s2w3,focus,
Fri Aug 28 2015 20:55:31 GMT+0800 (China Standard Time),,s2w4,focus,
Fri Aug 28 2015 20:55:32 GMT+0800 (China Standard Time),,s2w4,label,"N"
Fri Aug 28 2015 20:55:33 GMT+0800 (China Standard Time),,s2w5,focus,
Fri Aug 28 2015 20:55:33 GMT+0800 (China Standard Time),,s2w6,focus,
Fri Aug 28 2015 20:55:34 GMT+0800 (China Standard Time),,s2w7,focus,
Fri Aug 28 2015 20:55:34 GMT+0800 (China Standard Time),,s2w8,focus,
Fri Aug 28 2015 20:55:34 GMT+0800 (China Standard Time),,s2w9,focus,
Fri Aug 28 2015 20:55:34 GMT+0800 (China Standard Time),,s2w10,focus,
Fri Aug 28 2015 20:55:35 GMT+0800 (China Standard Time),,s2w11,focus,
Fri Aug 28 2015 20:55:36 GMT+0800 (China Standard Time),,s2w12,focus,
Fri Aug 28 2015 20:55:36 GMT+0800 (China Standard Time),,s2w13,focus,
Fri Aug 28 2015 20:55:36 GMT+0800 (China Standard Time),,s2w14,focus,
Fri Aug 28 2015 20:55:36 GMT+0800 (China Standard Time),,s2w15,focus,
Fri Aug 28 2015 20:55:37 GMT+0800 (China Standard Time),,s2w16,focus,
Fri Aug 28 2015 20:55:37 GMT+0800 (China Standard Time),,s2w17,focus,
Fri Aug 28 2015 20:55:37 GMT+0800 (China Standard Time),,s2w18,focus,
Fri Aug 28 2015 20:55:37 GMT+0800 (China Standard Time),,s2w19,focus,
Fri Aug 28 2015 20:55:38 GMT+0800 (China Standard Time),,s2w20,focus,
Fri Aug 28 2015 20:55:38 GMT+0800 (China Standard Time),,s2w21,focus,
Fri Aug 28 2015 20:55:38 GMT+0800 (China Standard Time),,s2w22,focus,
Fri Aug 28 2015 20:55:38 GMT+0800 (China Standard Time),,s2w23,focus,
Fri Aug 28 2015 20:55:39 GMT+0800 (China Standard Time),,s2w24,focus,
Fri Aug 28 2015 20:55:39 GMT+0800 (China Standard Time),,s2w25,focus,
Fri Aug 28 2015 20:55:39 GMT+0800 (China Standard Time),,s2w26,focus,
Fri Aug 28 2015 20:55:40 GMT+0800 (China Standard Time),,s2w27,focus,
Fri Aug 28 2015 20:55:40 GMT+0800 (China Standard Time),,s2w28,focus,
Fri Aug 28 2015 20:55:40 GMT+0800 (China Standard Time),,s2w29,focus,
Fri Aug 28 2015 20:55:41 GMT+0800 (China Standard Time),,s2w30,focus,
Fri Aug 28 2015 20:55:41 GMT+0800 (China Standard Time),,s2w31,focus,
Fri Aug 28 2015 20:55:41 GMT+0800 (China Standard Time),,s2w32,focus,
Fri Aug 28 2015 20:55:42 GMT+0800 (China Standard Time),,s2w33,focus,
Fri Aug 28 2015 20:55:42 GMT+0800 (China Standard Time),,s2w34,focus,
Fri Aug 28 2015 20:55:43 GMT+0800 (China Standard Time),,s2w35,focus,
Fri Aug 28 2015 20:55:43 GMT+0800 (China Standard Time),,s2w36,focus,
Fri Aug 28 2015 20:55:43 GMT+0800 (China Standard Time),,s2w37,focus,
Fri Aug 28 2015 20:55:44 GMT+0800 (China Standard Time),,s2w38,focus,
Fri Aug 28 2015 20:55:44 GMT+0800 (China Standard Time),,s2w39,focus,
Fri Aug 28 2015 20:55:44 GMT+0800 (China Standard Time),,s2w40,focus,
Fri Aug 28 2015 20:55:45 GMT+0800 (China Standard Time),,s2w41,focus,
Fri Aug 28 2015 20:55:45 GMT+0800 (China Standard Time),,s2w42,focus,
Fri Aug 28 2015 20:55:45 GMT+0800 (China Standard Time),,s2w43,focus,
Fri Aug 28 2015 20:55:46 GMT+0800 (China Standard Time),,s2w44,focus,
Fri Aug 28 2015 20:55:47 GMT+0800 (China Standard Time),,s2w44,label,"^"
Fri Aug 28 2015 20:55:47 GMT+0800 (China Standard Time),,s2w45,focus,
Fri Aug 28 2015 20:55:48 GMT+0800 (China Standard Time),,s2w46,focus,
Fri Aug 28 2015 20:55:48 GMT+0800 (China Standard Time),,s2w47,focus,
Fri Aug 28 2015 20:55:48 GMT+0800 (China Standard Time),,s2w48,focus,
Fri Aug 28 2015 20:55:49 GMT+0800 (China Standard Time),,s2w49,focus,
Fri Aug 28 2015 20:55:49 GMT+0800 (China Standard Time),,s2w50,focus,
Fri Aug 28 2015 20:55:49 GMT+0800 (China Standard Time),,s2w51,focus,
Fri Aug 28 2015 20:55:50 GMT+0800 (China Standard Time),,s2w52,focus,
Fri Aug 28 2015 20:55:50 GMT+0800 (China Standard Time),,s2w53,focus,
Fri Aug 28 2015 20:55:50 GMT+0800 (China Standard Time),,s2w54,focus,
Fri Aug 28 2015 20:55:51 GMT+0800 (China Standard Time),,s2w55,focus,
Fri Aug 28 2015 20:55:51 GMT+0800 (China Standard Time),,s2w56,focus,
Fri Aug 28 2015 20:55:51 GMT+0800 (China Standard Time),,s2w57,focus,
Fri Aug 28 2015 20:55:52 GMT+0800 (China Standard Time),,s2w58,focus,
Fri Aug 28 2015 20:55:52 GMT+0800 (China Standard Time),,s3w1,focus,
Fri Aug 28 2015 20:55:54 GMT+0800 (China Standard Time),,s3w2,focus,
Fri Aug 28 2015 20:55:55 GMT+0800 (China Standard Time),,s3w3,focus,
Fri Aug 28 2015 20:55:55 GMT+0800 (China Standard Time),,s3w4,focus,
Fri Aug 28 2015 20:55:55 GMT+0800 (China Standard Time),,s3w5,focus,
Fri Aug 28 2015 20:55:56 GMT+0800 (China Standard Time),,s3w6,focus,
Fri Aug 28 2015 20:55:56 GMT+0800 (China Standard Time),,s3w7,focus,
Fri Aug 28 2015 20:55:56 GMT+0800 (China Standard Time),,s3w8,focus,
Fri Aug 28 2015 20:55:57 GMT+0800 (China Standard Time),,s3w9,focus,
Fri Aug 28 2015 20:55:57 GMT+0800 (China Standard Time),,s3w10,focus,
Fri Aug 28 2015 20:55:57 GMT+0800 (China Standard Time),,s3w11,focus,
Fri Aug 28 2015 20:56:00 GMT+0800 (China Standard Time),,s3w11,label,"N"
Fri Aug 28 2015 20:56:00 GMT+0800 (China Standard Time),,s3w12,focus,
Fri Aug 28 2015 20:56:01 GMT+0800 (China Standard Time),,s3w13,focus,
Fri Aug 28 2015 20:56:01 GMT+0800 (China Standard Time),,s3w14,focus,
Fri Aug 28 2015 20:56:02 GMT+0800 (China Standard Time),,s3w15,focus,
Fri Aug 28 2015 20:56:02 GMT+0800 (China Standard Time),,s3w16,focus,
Fri Aug 28 2015 20:56:02 GMT+0800 (China Standard Time),,s3w17,focus,
Fri Aug 28 2015 20:56:02 GMT+0800 (China Standard Time),,s3w18,focus,
Fri Aug 28 2015 20:56:03 GMT+0800 (China Standard Time),,s3w19,focus,
Fri Aug 28 2015 20:56:03 GMT+0800 (China Standard Time),,s3w20,focus,
Fri Aug 28 2015 20:56:03 GMT+0800 (China Standard Time),,s3w20,label,"N"
Fri Aug 28 2015 20:56:04 GMT+0800 (China Standard Time),,s3w21,focus,
Fri Aug 28 2015 20:56:04 GMT+0800 (China Standard Time),,s3w22,focus,
Fri Aug 28 2015 20:56:05 GMT+0800 (China Standard Time),,s3w23,focus,
Fri Aug 28 2015 20:56:05 GMT+0800 (China Standard Time),,s3w24,focus,
Fri Aug 28 2015 20:56:05 GMT+0800 (China Standard Time),,s3w25,focus,
Fri Aug 28 2015 20:56:05 GMT+0800 (China Standard Time),,s3w26,focus,
Fri Aug 28 2015 20:56:06 GMT+0800 (China Standard Time),,s3w27,focus,
Fri Aug 28 2015 20:56:06 GMT+0800 (China Standard Time),,s3w28,focus,
Fri Aug 28 2015 20:56:06 GMT+0800 (China Standard Time),,s3w29,focus,
Fri Aug 28 2015 20:56:07 GMT+0800 (China Standard Time),,s3w30,focus,
Fri Aug 28 2015 20:56:07 GMT+0800 (China Standard Time),,s3w31,focus,
Fri Aug 28 2015 20:56:08 GMT+0800 (China Standard Time),,s3w32,focus,
Fri Aug 28 2015 20:56:09 GMT+0800 (China Standard Time),,s3w32,label,"^"
