Wed Aug 26 2015 21:23:42 GMT+0800 (China Standard Time),,s3w22,focus,
Wed Aug 26 2015 21:23:43 GMT+0800 (China Standard Time),,s3w23,focus,
Wed Aug 26 2015 21:23:43 GMT+0800 (China Standard Time),,s3w24,focus,
Wed Aug 26 2015 21:23:43 GMT+0800 (China Standard Time),,s3w25,focus,
Wed Aug 26 2015 21:23:44 GMT+0800 (China Standard Time),,s4w1,focus,
Wed Aug 26 2015 21:23:44 GMT+0800 (China Standard Time),,s4w2,focus,
Wed Aug 26 2015 21:23:44 GMT+0800 (China Standard Time),,s4w3,focus,
Wed Aug 26 2015 21:23:44 GMT+0800 (China Standard Time),,s4w4,focus,
Wed Aug 26 2015 21:23:45 GMT+0800 (China Standard Time),,s4w5,focus,
Wed Aug 26 2015 21:23:45 GMT+0800 (China Standard Time),,s4w6,focus,
Wed Aug 26 2015 21:23:45 GMT+0800 (China Standard Time),,s4w7,focus,
Wed Aug 26 2015 21:23:49 GMT+0800 (China Standard Time),,s4w6,focus,
Wed Aug 26 2015 21:23:49 GMT+0800 (China Standard Time),,s4w6,focus,
Wed Aug 26 2015 21:23:50 GMT+0800 (China Standard Time),,s4w6,label,"G"
Wed Aug 26 2015 21:23:51 GMT+0800 (China Standard Time),,s4w7,focus,
Wed Aug 26 2015 21:23:51 GMT+0800 (China Standard Time),,s4w8,focus,
Wed Aug 26 2015 21:23:53 GMT+0800 (China Standard Time),,s4w9,focus,
Wed Aug 26 2015 21:23:53 GMT+0800 (China Standard Time),,s4w10,focus,
Wed Aug 26 2015 21:23:53 GMT+0800 (China Standard Time),,s4w11,focus,
Wed Aug 26 2015 21:23:54 GMT+0800 (China Standard Time),,s4w12,focus,
Wed Aug 26 2015 21:23:54 GMT+0800 (China Standard Time),,s4w13,focus,
Wed Aug 26 2015 21:23:54 GMT+0800 (China Standard Time),,s4w14,focus,
Wed Aug 26 2015 21:23:54 GMT+0800 (China Standard Time),,s4w15,focus,
Wed Aug 26 2015 21:23:55 GMT+0800 (China Standard Time),,s4w16,focus,
Wed Aug 26 2015 21:23:55 GMT+0800 (China Standard Time),,s4w17,focus,
Wed Aug 26 2015 21:23:55 GMT+0800 (China Standard Time),,s4w18,focus,
Wed Aug 26 2015 21:23:55 GMT+0800 (China Standard Time),,s4w19,focus,
Wed Aug 26 2015 21:23:57 GMT+0800 (China Standard Time),,s4w20,focus,
Wed Aug 26 2015 21:23:58 GMT+0800 (China Standard Time),,s4w21,focus,
Wed Aug 26 2015 21:23:58 GMT+0800 (China Standard Time),,s4w22,focus,
Wed Aug 26 2015 21:23:58 GMT+0800 (China Standard Time),,s4w23,focus,
Wed Aug 26 2015 21:23:58 GMT+0800 (China Standard Time),,s4w24,focus,
Wed Aug 26 2015 21:23:59 GMT+0800 (China Standard Time),,s4w25,focus,
Wed Aug 26 2015 21:23:59 GMT+0800 (China Standard Time),,s4w26,focus,
Wed Aug 26 2015 21:23:59 GMT+0800 (China Standard Time),,s4w27,focus,
Wed Aug 26 2015 21:23:59 GMT+0800 (China Standard Time),,s4w28,focus,
Wed Aug 26 2015 21:24:00 GMT+0800 (China Standard Time),,s4w29,focus,
Wed Aug 26 2015 21:24:00 GMT+0800 (China Standard Time),,s4w30,focus,
Wed Aug 26 2015 21:24:00 GMT+0800 (China Standard Time),,s4w31,focus,
Wed Aug 26 2015 21:24:01 GMT+0800 (China Standard Time),,s4w32,focus,
Wed Aug 26 2015 21:24:01 GMT+0800 (China Standard Time),,s4w33,focus,
Wed Aug 26 2015 21:24:01 GMT+0800 (China Standard Time),,s4w34,focus,
Wed Aug 26 2015 21:24:02 GMT+0800 (China Standard Time),,s4w35,focus,
Wed Aug 26 2015 21:24:02 GMT+0800 (China Standard Time),,s4w36,focus,
Wed Aug 26 2015 21:24:02 GMT+0800 (China Standard Time),,s4w37,focus,
Wed Aug 26 2015 21:24:03 GMT+0800 (China Standard Time),,s5w1,focus,
Wed Aug 26 2015 21:24:04 GMT+0800 (China Standard Time),,s5w2,focus,
Wed Aug 26 2015 21:24:05 GMT+0800 (China Standard Time),,s5w3,focus,
Wed Aug 26 2015 21:24:05 GMT+0800 (China Standard Time),,s5w4,focus,
Wed Aug 26 2015 21:24:05 GMT+0800 (China Standard Time),,s5w5,focus,
Wed Aug 26 2015 21:24:06 GMT+0800 (China Standard Time),,s5w6,focus,
Wed Aug 26 2015 21:24:06 GMT+0800 (China Standard Time),,s5w7,focus,
Wed Aug 26 2015 21:24:06 GMT+0800 (China Standard Time),,s5w8,focus,
Wed Aug 26 2015 21:24:07 GMT+0800 (China Standard Time),,s5w9,focus,
Wed Aug 26 2015 21:24:08 GMT+0800 (China Standard Time),,s5w10,focus,
Wed Aug 26 2015 21:24:08 GMT+0800 (China Standard Time),,s5w11,focus,
Wed Aug 26 2015 21:24:08 GMT+0800 (China Standard Time),,s5w12,focus,
Wed Aug 26 2015 21:24:08 GMT+0800 (China Standard Time),,s5w13,focus,
Wed Aug 26 2015 21:24:09 GMT+0800 (China Standard Time),,s5w14,focus,
Wed Aug 26 2015 21:24:09 GMT+0800 (China Standard Time),,s5w15,focus,
Wed Aug 26 2015 21:24:09 GMT+0800 (China Standard Time),,s5w16,focus,
Wed Aug 26 2015 21:24:09 GMT+0800 (China Standard Time),,s5w17,focus,
Wed Aug 26 2015 21:24:09 GMT+0800 (China Standard Time),,s5w18,focus,
Wed Aug 26 2015 21:24:10 GMT+0800 (China Standard Time),,s5w19,focus,
Wed Aug 26 2015 21:24:10 GMT+0800 (China Standard Time),,s5w20,focus,
Wed Aug 26 2015 21:24:10 GMT+0800 (China Standard Time),,s5w21,focus,
Wed Aug 26 2015 21:24:10 GMT+0800 (China Standard Time),,s5w22,focus,
Wed Aug 26 2015 21:24:10 GMT+0800 (China Standard Time),,s5w23,focus,
Wed Aug 26 2015 21:24:10 GMT+0800 (China Standard Time),,s5w24,focus,
Wed Aug 26 2015 21:24:10 GMT+0800 (China Standard Time),,s5w25,focus,
Wed Aug 26 2015 21:24:10 GMT+0800 (China Standard Time),,s6w1,focus,
Wed Aug 26 2015 21:24:11 GMT+0800 (China Standard Time),,s6w2,focus,
Wed Aug 26 2015 21:24:11 GMT+0800 (China Standard Time),,s6w3,focus,
Wed Aug 26 2015 21:24:11 GMT+0800 (China Standard Time),,s6w4,focus,
Wed Aug 26 2015 21:24:11 GMT+0800 (China Standard Time),,s6w5,focus,
Wed Aug 26 2015 21:24:11 GMT+0800 (China Standard Time),,s6w6,focus,
Wed Aug 26 2015 21:24:11 GMT+0800 (China Standard Time),,s6w7,focus,
Wed Aug 26 2015 21:24:11 GMT+0800 (China Standard Time),,s6w8,focus,
Wed Aug 26 2015 21:24:12 GMT+0800 (China Standard Time),,s6w9,focus,
Wed Aug 26 2015 21:24:12 GMT+0800 (China Standard Time),,s6w10,focus,
Wed Aug 26 2015 21:24:12 GMT+0800 (China Standard Time),,s6w11,focus,
Wed Aug 26 2015 21:24:13 GMT+0800 (China Standard Time),,s6w12,focus,
Wed Aug 26 2015 21:24:13 GMT+0800 (China Standard Time),,s6w13,focus,
Wed Aug 26 2015 21:24:13 GMT+0800 (China Standard Time),,s6w14,focus,
Wed Aug 26 2015 21:24:13 GMT+0800 (China Standard Time),,s6w15,focus,
Wed Aug 26 2015 21:24:13 GMT+0800 (China Standard Time),,s6w16,focus,
Wed Aug 26 2015 21:24:13 GMT+0800 (China Standard Time),,s6w17,focus,
Wed Aug 26 2015 21:24:13 GMT+0800 (China Standard Time),,s6w18,focus,
Wed Aug 26 2015 21:24:14 GMT+0800 (China Standard Time),,s7w1,focus,
Wed Aug 26 2015 21:24:14 GMT+0800 (China Standard Time),,s7w2,focus,
Wed Aug 26 2015 21:24:15 GMT+0800 (China Standard Time),,s7w3,focus,
Wed Aug 26 2015 21:24:15 GMT+0800 (China Standard Time),,s7w4,focus,
Wed Aug 26 2015 21:24:16 GMT+0800 (China Standard Time),,s7w5,focus,
Wed Aug 26 2015 21:24:16 GMT+0800 (China Standard Time),,s7w6,focus,
Wed Aug 26 2015 21:24:16 GMT+0800 (China Standard Time),,s7w7,focus,
Wed Aug 26 2015 21:24:16 GMT+0800 (China Standard Time),,s7w8,focus,
Wed Aug 26 2015 21:24:16 GMT+0800 (China Standard Time),,s7w9,focus,
Wed Aug 26 2015 21:24:17 GMT+0800 (China Standard Time),,s7w10,focus,
Wed Aug 26 2015 21:24:17 GMT+0800 (China Standard Time),,s7w11,focus,
Wed Aug 26 2015 21:24:17 GMT+0800 (China Standard Time),,s7w12,focus,
